,userid,business_id,categories,stars,Alcohol,park,GoodForKids,HasTV,OutdoorSeating,RestaurantsDelivery,attributes_RestaurantsPriceRange2,RestaurantsTakeOut
1658,BGzavA_ddMr-jGmhArv7fg,CDl0tbkfSZS3UHg5_L9gBA,Japanese,3.0,1,1,1,1,0,0,2,1
911,BGzavA_ddMr-jGmhArv7fg,tO5Ssb7-hnas2fQQ5bt9IA,Thai,4.0,0,0,1,0,0,0,1,1
624,BGzavA_ddMr-jGmhArv7fg,emIpCWPxCdyuGtjVIK0LEg,Japanese,2.0,0,2,1,0,0,0,1,1
1838,BGzavA_ddMr-jGmhArv7fg,nJZK82jCm45_cJflW_pMKw,Japanese,2.0,1,1,1,0,1,0,2,1
2877,BGzavA_ddMr-jGmhArv7fg,3dfJjFeXVb8UoESrypybeQ,Japanese,3.0,1,1,1,0,0,0,2,1
764,BGzavA_ddMr-jGmhArv7fg,EXd0QOsqz6sAOUjMJba_9w,Vietnamese,2.0,1,1,1,0,0,0,1,1
1746,BGzavA_ddMr-jGmhArv7fg,ovlWOSKVjGecnaPuZLv_OQ,Chinese,5.0,1,1,1,0,0,0,2,1
2166,BGzavA_ddMr-jGmhArv7fg,nHFJtud7jWZhM9dHQ1eIRA,Korean,4.0,1,1,1,0,0,0,1,1
911,BGzavA_ddMr-jGmhArv7fg,tO5Ssb7-hnas2fQQ5bt9IA,Thai,4.0,0,0,1,0,0,0,1,1
810,BGzavA_ddMr-jGmhArv7fg,fzHBvd0HZm1yB3UIMqZ3bA,Chinese,4.0,0,1,1,0,0,0,2,1
2898,BGzavA_ddMr-jGmhArv7fg,DEjm5implb5hHqQEmaLuXg,Vietnamese,3.0,1,1,1,2,0,0,1,1
2009,BGzavA_ddMr-jGmhArv7fg,hqpPDu238T1tpBa64Q0TSw,Chinese,3.0,0,0,1,0,0,0,1,1
807,BGzavA_ddMr-jGmhArv7fg,hq10TdILrwtTcAESKY251Q,Chinese,3.0,1,1,1,1,0,0,2,1
911,BGzavA_ddMr-jGmhArv7fg,tO5Ssb7-hnas2fQQ5bt9IA,Thai,4.0,0,0,1,0,0,0,1,1
2138,BGzavA_ddMr-jGmhArv7fg,u2ETlHOcFdRz4BxcdfsK0Q,Thai,2.0,1,1,1,1,1,0,2,1
2078,BGzavA_ddMr-jGmhArv7fg,4twpbw7n4DmsLxAm6-sMkg,Korean,5.0,1,1,1,0,0,0,1,1
318,BGzavA_ddMr-jGmhArv7fg,Nxg73OigmRQQq0d1pKtkUQ,Vietnamese,3.0,1,1,1,0,0,0,1,1
3132,BGzavA_ddMr-jGmhArv7fg,OOO4iaFaBffyeZjiffJccA,Korean,2.0,1,1,1,1,0,0,2,1
1745,BGzavA_ddMr-jGmhArv7fg,3kth9Q4R5qBYdd9TG8AJ1Q,Japanese,4.0,2,1,2,2,2,2,2,2
1415,BGzavA_ddMr-jGmhArv7fg,wMiGwn4qPvEN17CaQ3Zi4g,Chinese,4.0,1,1,1,0,0,0,2,1
695,BGzavA_ddMr-jGmhArv7fg,BxF7p8LSgchlUTYhNAXQyA,Korean,4.0,0,0,1,0,0,0,2,1
1040,BGzavA_ddMr-jGmhArv7fg,BJ9GwNMo8vIgSuKc6B_mOw,Chinese,4.0,1,0,1,0,1,0,2,1
2738,BGzavA_ddMr-jGmhArv7fg,TxOjL5plaQ1803ad4O7WSw,Japanese,4.0,1,1,1,0,0,0,2,1
180,BGzavA_ddMr-jGmhArv7fg,jo4nS-avhKux4IFwFCsrvw,Thai,3.0,0,0,1,0,0,0,1,1
2766,BGzavA_ddMr-jGmhArv7fg,BUcTdN-rNE8urCCQuxSOQA,Chinese,3.0,1,1,1,0,0,0,2,1
1101,BGzavA_ddMr-jGmhArv7fg,lkvHG6proAFP8_evKhdxKA,Chinese,3.0,0,0,1,0,0,0,1,1
1124,BGzavA_ddMr-jGmhArv7fg,grZEbAsZwWA3yJMwDRl0Nw,Japanese,5.0,1,1,1,0,1,0,2,1
2567,BGzavA_ddMr-jGmhArv7fg,HUYEadSbGSQNHXFmT2Ujjw,Japanese,5.0,1,1,1,0,0,0,1,1
220,BGzavA_ddMr-jGmhArv7fg,-AVRReI-nfsa0lKlehEojw,Japanese,3.0,1,1,1,1,0,0,2,1
1424,BGzavA_ddMr-jGmhArv7fg,WEwf_IKutaFK2t-cdMhEWg,Thai,4.0,0,1,1,0,0,0,1,1
962,BGzavA_ddMr-jGmhArv7fg,2xESRiEdjlbRh_uO9LpAJw,Japanese,5.0,1,1,1,0,0,0,2,1
214,BGzavA_ddMr-jGmhArv7fg,BAgrtfTrTrRw9F1HiZBJcQ,Thai,3.0,1,0,0,2,2,0,2,1
1448,BGzavA_ddMr-jGmhArv7fg,KmrSAy80bJQHQ2Z9oQ5xTA,Japanese,3.0,0,1,1,2,0,0,2,1
2685,BGzavA_ddMr-jGmhArv7fg,aLcFhMe6DDJ430zelCpd2A,Thai,4.0,1,1,0,1,0,0,2,1
2437,BGzavA_ddMr-jGmhArv7fg,qcqDjeirxvdgW5kQVkEwSA,Chinese,2.0,1,1,0,0,1,0,1,1
13,BGzavA_ddMr-jGmhArv7fg,oWEFIvvt_kJCuk2V268XeQ,Chinese,3.0,1,1,1,0,0,0,2,1
142,BGzavA_ddMr-jGmhArv7fg,mdBaC30kgcWfAyF1O8anOw,Vietnamese,4.0,1,1,1,1,0,0,2,1
2493,BGzavA_ddMr-jGmhArv7fg,sXLdPB6WWaAN_ZsEAmCF0w,Japanese,3.0,1,0,1,0,0,0,2,1
462,BGzavA_ddMr-jGmhArv7fg,zA6gnF5aPBGoOm6uIbKt-A,Japanese,4.0,1,1,0,0,0,0,3,1
1501,BGzavA_ddMr-jGmhArv7fg,XOkqRJBS6HwTVlrCACAZFw,Thai,4.0,1,1,0,1,1,0,2,1
2437,C3Hpsx_eDfeSmxEc1HBzpA,qcqDjeirxvdgW5kQVkEwSA,Chinese,4.0,1,1,0,0,1,0,1,1
2166,CQUDh80m48xnzUkx-X5NAw,nHFJtud7jWZhM9dHQ1eIRA,Korean,5.0,1,1,1,0,0,0,1,1
2060,CXwHjHxwGDzRTgvU_NdLIQ,5sKb4h7R5gdhePSflPD0Tw,Japanese,3.0,1,1,1,0,1,0,2,1
2390,CXwHjHxwGDzRTgvU_NdLIQ,HESQNQe96hb6heem0ji0xQ,Japanese,3.5,1,1,1,1,0,0,2,1
20,CXwHjHxwGDzRTgvU_NdLIQ,WLEbbuly3H-_raBE1atQRg,Japanese,2.5,1,1,1,0,0,0,2,1
3026,CXwHjHxwGDzRTgvU_NdLIQ,KObbYxMsDmjoF8T3RhpOCw,Japanese,4.0,1,1,1,0,0,0,2,1
2122,CXwHjHxwGDzRTgvU_NdLIQ,59okD6I_2Sy925jXKljgCg,Japanese,2.0,0,0,0,0,0,2,1,1
848,CXwHjHxwGDzRTgvU_NdLIQ,cejOLn5kPuVgm3TMLnpWlQ,Japanese,3.6666666666666665,1,1,1,0,0,0,2,1
2848,CXwHjHxwGDzRTgvU_NdLIQ,-FyvAo_bNe6eXWpEHpSUrQ,Japanese,4.0,1,1,1,0,0,0,2,1
2390,CXwHjHxwGDzRTgvU_NdLIQ,HESQNQe96hb6heem0ji0xQ,Japanese,3.5,1,1,1,1,0,0,2,1
2738,CXwHjHxwGDzRTgvU_NdLIQ,TxOjL5plaQ1803ad4O7WSw,Japanese,4.0,1,1,1,0,0,0,2,1
1377,CXwHjHxwGDzRTgvU_NdLIQ,Vx2J5pskonaXb0WQlejB6Q,Japanese,4.0,1,1,1,0,0,0,2,1
60,CXwHjHxwGDzRTgvU_NdLIQ,XuZqb9sVliEQuz-RuESOlQ,Japanese,2.0,1,1,1,0,0,0,2,1
848,CXwHjHxwGDzRTgvU_NdLIQ,cejOLn5kPuVgm3TMLnpWlQ,Japanese,3.6666666666666665,1,1,1,0,0,0,2,1
2493,CXwHjHxwGDzRTgvU_NdLIQ,sXLdPB6WWaAN_ZsEAmCF0w,Japanese,4.0,1,0,1,0,0,0,2,1
848,CXwHjHxwGDzRTgvU_NdLIQ,cejOLn5kPuVgm3TMLnpWlQ,Japanese,3.6666666666666665,1,1,1,0,0,0,2,1
20,CXwHjHxwGDzRTgvU_NdLIQ,WLEbbuly3H-_raBE1atQRg,Japanese,2.5,1,1,1,0,0,0,2,1
1117,CoS9VbTzh74Hh7FSlAKKVA,eQel7bUz75j0AVKnfsillg,Korean,5.0,1,1,1,0,0,0,2,0
2092,D6tDh72nyGJdeBPJmX9fUQ,r_BrIgzYcwo1NAuG9dLbpg,Thai,5.0,1,1,1,0,0,0,2,1
1770,DS0Idr2XDhz5e7ZfSy0dYA,3HeX5ZAaPesR0psjGHtI6g,Chinese,3.0,2,0,1,1,0,0,1,1
3009,DS0Idr2XDhz5e7ZfSy0dYA,QxnwaNgY6_e88SBfmT6k1w,Chinese,3.0,0,0,1,1,0,0,1,1
612,DS0Idr2XDhz5e7ZfSy0dYA,--6MefnULPED_I942VcFNA,Chinese,5.0,1,1,1,0,0,0,2,1
810,DS0Idr2XDhz5e7ZfSy0dYA,fzHBvd0HZm1yB3UIMqZ3bA,Chinese,4.0,0,1,1,0,0,0,2,1
2072,DS0Idr2XDhz5e7ZfSy0dYA,3qjztON1RW5Hn6QJLDl8ug,Chinese,3.0,1,1,1,0,0,0,3,1
451,EiT_pSuIb08oRn4CfwfMJg,Cs8BaiKkyNU6mzxq9nTsmg,Chinese,4.0,1,1,1,0,0,0,2,1
2255,EiT_pSuIb08oRn4CfwfMJg,84RdNjDKXKzqZlSlT6G6PA,Japanese,4.0,1,1,1,1,1,0,1,1
749,EiT_pSuIb08oRn4CfwfMJg,td9FZybutwNG7DgocHCiXA,Chinese,4.0,1,0,1,0,0,0,3,1
749,EiT_pSuIb08oRn4CfwfMJg,td9FZybutwNG7DgocHCiXA,Chinese,4.0,1,0,1,0,0,0,3,1
971,EiT_pSuIb08oRn4CfwfMJg,CN5nuUQod0f8g3oh99qq0w,Japanese,5.0,1,1,0,0,0,0,2,1
1382,EiT_pSuIb08oRn4CfwfMJg,Cp3YRVZojrCGeQS41Hf1pw,Vietnamese,4.0,1,1,1,0,0,0,1,1
2472,EiT_pSuIb08oRn4CfwfMJg,EhGPj8iJDIdaHnWg9d5BgA,Chinese,4.0,1,0,1,0,0,0,2,1
1329,EiT_pSuIb08oRn4CfwfMJg,RrqcZLX05djKo1GVLMXMDQ,Korean,4.0,1,1,1,0,0,0,2,1
569,EiT_pSuIb08oRn4CfwfMJg,zkU-WMio8g6dpRJ2Y2xqvQ,Chinese,4.0,1,1,1,0,0,0,2,1
590,EiT_pSuIb08oRn4CfwfMJg,6t7U64hS_cBZtVKSP-q5Ww,Chinese,4.0,2,0,1,1,0,0,2,0
970,EiT_pSuIb08oRn4CfwfMJg,nrq5H3LZicjMG0wv7gy08g,Japanese,5.0,1,1,0,0,0,0,2,1
883,EiT_pSuIb08oRn4CfwfMJg,L_tieGcFMQVSmk7XiA093A,Chinese,4.0,0,1,1,0,0,0,2,0
1776,EiwxlbR8fb68lMgEXhcWKA,f5O7v_X_jCg2itqacRfxhg,Japanese,4.0,1,1,1,0,0,0,2,0
2334,FmnV0mpRSLm9iQ1uvbNoSw,QePLHlU8MFaU2Sf9dzoLTg,Japanese,5.0,1,1,1,1,1,0,2,1
1531,GFyA9ULGAeD-xZEPto2y7A,PTbpP2T-Km0g11wB6h2lKg,Thai,3.0,1,1,1,0,0,0,2,1
1244,Gppf1W0Bk9olxs1vplhmUg,oRgoOhwCex1X9j1iQ9ou3w,Chinese,5.0,1,1,1,0,0,0,2,1
1846,Gppf1W0Bk9olxs1vplhmUg,eI1ZHGOr2Pus842KrZD5ZQ,Chinese,5.0,1,1,1,0,0,0,2,1
1952,Gppf1W0Bk9olxs1vplhmUg,8YG7PRoZuHeKii0rtNvJFQ,Chinese,5.0,1,1,1,0,0,0,2,1
2166,Gx9m-uVNSAua8KdVyiQfGA,nHFJtud7jWZhM9dHQ1eIRA,Korean,4.0,1,1,1,0,0,0,1,1
2166,Hi10sGSZNxQH3NLyWSZ1oA,nHFJtud7jWZhM9dHQ1eIRA,Korean,4.0,1,1,1,0,0,0,1,1
1752,Hi10sGSZNxQH3NLyWSZ1oA,WN3NSIJQHfxtjf1kV7snVA,Japanese,5.0,0,1,1,0,0,0,1,1
1636,Hi10sGSZNxQH3NLyWSZ1oA,N93EYZy9R0sdlEvubu94ig,Vietnamese,5.0,0,1,1,0,0,0,1,1
1676,Hi10sGSZNxQH3NLyWSZ1oA,F_oPMHJrH42R67xp5eKtQA,Korean,4.0,1,1,1,0,0,0,1,1
2175,Hi10sGSZNxQH3NLyWSZ1oA,QaxDKkqYTtVYZJcqBNTnvQ,Chinese,5.0,0,1,1,0,0,0,1,1
2078,Hi10sGSZNxQH3NLyWSZ1oA,4twpbw7n4DmsLxAm6-sMkg,Korean,5.0,1,1,1,0,0,0,1,1
965,Hi10sGSZNxQH3NLyWSZ1oA,Tn8O4tv1U-n0PRC8kbJJPg,Vietnamese,5.0,0,1,1,0,0,0,1,1
2274,Hi10sGSZNxQH3NLyWSZ1oA,i2sSSIrgQg1fVjqYXZLvNA,Korean,5.0,0,0,1,0,0,0,1,1
886,Hi10sGSZNxQH3NLyWSZ1oA,fGurvC5BdOfd5MIuLUQYVA,Chinese,5.0,0,1,1,0,0,0,1,1
3082,ITa3vh5ERI90G_WP4SmGUQ,dy0O7DaSUd49NZWSEtvz_g,Thai,4.0,1,1,0,0,1,0,3,0
2400,IwHLuykqqmGVNHJ_UCwXWg,trKyIRyjKqVSZmcU0AnICQ,Chinese,4.0,1,1,1,0,0,0,2,1
1126,IwHLuykqqmGVNHJ_UCwXWg,2Q89PhkcyT9uZnQORmqMKg,Chinese,4.0,1,1,1,0,0,0,2,1
2981,IwHLuykqqmGVNHJ_UCwXWg,AbQMlXCfWvMnNXADMaiMIw,Chinese,3.0,1,0,1,1,0,0,2,1
1697,IwHLuykqqmGVNHJ_UCwXWg,DPA9MQKkCqT0qnevsG740A,Thai,4.0,1,1,0,0,0,0,2,1
1395,JXt_vd2l_SkhFZdablieUg,jNiZgCwZj4CNw1noxiC8PQ,Chinese,4.0,1,1,1,0,0,0,2,1
698,JnPIjvC0cmooNDfsa9BmXg,2S9t90Q0qZWCV7X_u0rxZQ,Japanese,2.0,1,1,1,0,0,0,2,1
1338,JnPIjvC0cmooNDfsa9BmXg,-W1bYeAk18xShlb6_Yb2Ig,Thai,4.0,1,1,0,1,1,0,2,1
1773,JnPIjvC0cmooNDfsa9BmXg,QTSCFDPcuROE8UCvGS8Fiw,Japanese,3.0,1,1,1,0,1,0,2,1
3114,JnPIjvC0cmooNDfsa9BmXg,3C1zbn47G5pDfX5OHJ1CRg,Japanese,4.0,2,0,1,2,0,2,1,1
1501,JnPIjvC0cmooNDfsa9BmXg,XOkqRJBS6HwTVlrCACAZFw,Thai,4.0,1,1,0,1,1,0,2,1
1080,JnPIjvC0cmooNDfsa9BmXg,WbQOuI7mVST8XrJotWq9fA,Chinese,2.0,0,1,1,0,0,0,1,1
1219,JnPIjvC0cmooNDfsa9BmXg,CLNqviorDO-pQvxTTy3kbA,Thai,4.0,1,1,0,0,1,0,1,0
1576,JnPIjvC0cmooNDfsa9BmXg,cfGNZTCw1pCR_fma6wgfwg,Vietnamese,4.0,1,1,1,1,0,0,1,1
1811,JnPIjvC0cmooNDfsa9BmXg,nkTiiS4qTb9INNOWVvystw,Thai,3.0,1,1,1,0,0,0,2,1
1161,JnPIjvC0cmooNDfsa9BmXg,R8ft_fn8y9ejKoYnQwdByg,Vietnamese,2.0,1,1,1,0,0,0,2,1
1338,JnPIjvC0cmooNDfsa9BmXg,-W1bYeAk18xShlb6_Yb2Ig,Thai,4.0,1,1,0,1,1,0,2,1
1338,JnPIjvC0cmooNDfsa9BmXg,-W1bYeAk18xShlb6_Yb2Ig,Thai,4.0,1,1,0,1,1,0,2,1
896,JnPIjvC0cmooNDfsa9BmXg,Q3SdFs_6P3BPhPPywHZqBQ,Thai,5.0,0,1,1,0,0,0,2,1
1496,JnPIjvC0cmooNDfsa9BmXg,YLc7Djf3GsC8IT84YkZMzw,Thai,4.0,0,1,1,1,0,0,2,1
686,JnPIjvC0cmooNDfsa9BmXg,d6G0w_e3GaA90NSQeovShA,Vietnamese,5.0,1,1,1,1,1,0,2,1
2437,JnPIjvC0cmooNDfsa9BmXg,qcqDjeirxvdgW5kQVkEwSA,Chinese,3.0,1,1,0,0,1,0,1,1
2890,JnPIjvC0cmooNDfsa9BmXg,-av1lZI1JDY_RZN2eTMnWg,Thai,4.0,1,1,1,0,0,0,2,1
2437,JnPIjvC0cmooNDfsa9BmXg,qcqDjeirxvdgW5kQVkEwSA,Chinese,3.0,1,1,0,0,1,0,1,1
2890,JnPIjvC0cmooNDfsa9BmXg,-av1lZI1JDY_RZN2eTMnWg,Thai,4.0,1,1,1,0,0,0,2,1
220,JnPIjvC0cmooNDfsa9BmXg,-AVRReI-nfsa0lKlehEojw,Japanese,4.0,1,1,1,1,0,0,2,1
672,JnPIjvC0cmooNDfsa9BmXg,goihA0c0gTfhNKmgBOHYBA,Korean,2.0,1,1,0,0,0,0,2,0
2392,JnPIjvC0cmooNDfsa9BmXg,c1VhAIzfRqnYUao6RQmjQw,Chinese,4.0,1,1,1,1,0,0,2,1
677,JnPIjvC0cmooNDfsa9BmXg,ZAu2dg-4mwCy20biGgmV1A,Thai,4.0,0,1,1,0,0,0,2,1
2359,JnPIjvC0cmooNDfsa9BmXg,cj_9eTPR0JBqk9qt2VmzFw,Korean,4.0,0,1,1,0,0,0,1,1
301,KDewJBJknfWvQyHHFNbfdg,gtcsOodbmk4E0TulYHnlHA,Chinese,5.0,1,1,0,0,1,0,2,0
1643,KDewJBJknfWvQyHHFNbfdg,lGTZWahMoXRpGoftnt-T0w,Japanese,4.0,1,1,1,0,0,0,2,1
2437,KDewJBJknfWvQyHHFNbfdg,qcqDjeirxvdgW5kQVkEwSA,Chinese,4.0,1,1,0,0,1,0,1,1
1219,KDewJBJknfWvQyHHFNbfdg,CLNqviorDO-pQvxTTy3kbA,Thai,2.0,1,1,0,0,1,0,1,0
262,KDewJBJknfWvQyHHFNbfdg,EzGGUtQtbE8z57pqxE0I8w,Chinese,4.0,0,1,1,0,0,0,1,1
1901,KDewJBJknfWvQyHHFNbfdg,rROHsa0BQsKjxNnfYjBF9g,Chinese,2.0,1,1,1,0,0,0,2,1
2311,LkP5uU4ncr5MgNp8ercSCA,SEURrw7032BR15PKZ_aleA,Chinese,4.0,1,1,1,0,0,0,2,1
2790,LkP5uU4ncr5MgNp8ercSCA,DE89UdHFMCN6DtYWZuer5A,Japanese,4.0,1,1,1,0,0,0,2,0
1237,LkP5uU4ncr5MgNp8ercSCA,E-wETrdq1uImd6lX6x8Qxw,Chinese,4.0,1,1,1,0,0,0,2,0
1967,LkP5uU4ncr5MgNp8ercSCA,ttuEwktrkmh3TUlSFPZqAA,Vietnamese,3.0,0,0,1,0,0,0,1,1
1382,M7vDDzoPNQDN2FdTcwCq4A,Cp3YRVZojrCGeQS41Hf1pw,Vietnamese,5.0,1,1,1,0,0,0,1,1
435,M7vDDzoPNQDN2FdTcwCq4A,478TIlfHXfT3wvww54QsPg,Japanese,5.0,1,1,0,1,1,0,3,1
2362,NNL1zLTP2J_SOputgoPYeQ,YlVgpTsLGrzZNJ039psmIA,Thai,3.0,2,2,1,0,0,0,2,1
1967,NNL1zLTP2J_SOputgoPYeQ,ttuEwktrkmh3TUlSFPZqAA,Vietnamese,4.0,0,0,1,0,0,0,1,1
2175,NNL1zLTP2J_SOputgoPYeQ,QaxDKkqYTtVYZJcqBNTnvQ,Chinese,5.0,0,1,1,0,0,0,1,1
2092,NNL1zLTP2J_SOputgoPYeQ,r_BrIgzYcwo1NAuG9dLbpg,Thai,5.0,1,1,1,0,0,0,2,1
1846,P3usQcIegPCl-cdH4IDirg,eI1ZHGOr2Pus842KrZD5ZQ,Chinese,4.0,1,1,1,0,0,0,2,1
2707,P5bUL3Engv-2z6kKohB6qQ,hKGDI_4BHHkW-D6WsMQN2w,Japanese,5.0,1,0,0,0,0,0,4,0
1704,PB3OEIzQGx_p6VdpzX3Feg,bzMO8LJmJtgo3KuyWGKUxA,Chinese,4.0,0,1,1,1,0,0,1,1
2821,PB3OEIzQGx_p6VdpzX3Feg,_xAJZOKBMPOe47p1MphB2w,Chinese,5.0,1,1,1,0,0,0,3,1
2512,Q9mA60HnY87C1TW5kjAZ6Q,mzREMIknfmagJugibXrCsQ,Vietnamese,3.6666666666666665,1,1,1,0,0,0,1,1
1496,Q9mA60HnY87C1TW5kjAZ6Q,YLc7Djf3GsC8IT84YkZMzw,Thai,4.0,0,1,1,1,0,0,2,1
1498,Q9mA60HnY87C1TW5kjAZ6Q,0mM_smCpKeKaL0MPMKOLFg,Thai,4.0,1,1,1,1,0,0,2,1
2492,Q9mA60HnY87C1TW5kjAZ6Q,O1TvPrgkK2bUo5O5aSZ7lw,Chinese,4.0,1,1,1,0,0,0,2,1
2704,Q9mA60HnY87C1TW5kjAZ6Q,Fk3EJL73i9Uql92ndZscMA,Chinese,3.0,0,0,1,1,0,0,1,1
2614,Q9mA60HnY87C1TW5kjAZ6Q,H-TEXVBXoNLFw2lp9gA2zA,Japanese,4.0,1,1,1,0,1,0,2,1
2637,Q9mA60HnY87C1TW5kjAZ6Q,Cjs6QghR-nIninfgAoErvw,Chinese,4.0,2,1,1,1,0,0,2,1
2614,Q9mA60HnY87C1TW5kjAZ6Q,H-TEXVBXoNLFw2lp9gA2zA,Japanese,4.0,1,1,1,0,1,0,2,1
2647,Q9mA60HnY87C1TW5kjAZ6Q,1zzzuXq0ov-x0aogiqHl-A,Thai,4.0,1,1,1,0,0,0,2,1
2240,Q9mA60HnY87C1TW5kjAZ6Q,JhQyOcVCkzNANOXgrbW11A,Japanese,3.3333333333333335,1,1,0,1,0,0,2,1
2218,Q9mA60HnY87C1TW5kjAZ6Q,Mv3pO01Alty1pXQwi-Uy5A,Chinese,3.0,0,2,1,1,0,0,1,1
2625,Q9mA60HnY87C1TW5kjAZ6Q,lRwpFFaFr3QQ5fGHkk3eXQ,Japanese,3.0,1,1,1,0,0,0,1,1
2240,Q9mA60HnY87C1TW5kjAZ6Q,JhQyOcVCkzNANOXgrbW11A,Japanese,3.3333333333333335,1,1,0,1,0,0,2,1
2630,Q9mA60HnY87C1TW5kjAZ6Q,PPDW3gtt0JojgXNYcSH1GA,Japanese,4.0,1,1,1,0,0,0,2,1
