,user_name,user_id,Chineselabel,Japaneselabel,Koreanlabel,Thailabel,Vietnameselabel
31,Kevin Blankenship,IwHLuykqqmGVNHJ_UCwXWg,1,0,0,0,0
32,Bobby Pearson,JXt_vd2l_SkhFZdablieUg,1,1,1,1,1
33,Kevin French,JnPIjvC0cmooNDfsa9BmXg,1,1,0,1,1
34,Jacob Rollins,KDewJBJknfWvQyHHFNbfdg,1,0,0,0,0
35,Renee Foley,LkP5uU4ncr5MgNp8ercSCA,1,1,1,1,1
36,Frederick Ortiz,M7vDDzoPNQDN2FdTcwCq4A,1,1,1,1,1
37,William Castillo,NNL1zLTP2J_SOputgoPYeQ,1,1,1,1,1
38,William Patel,P3usQcIegPCl-cdH4IDirg,1,1,1,1,1
39,Claudia Massey,P5bUL3Engv-2z6kKohB6qQ,1,1,1,1,1
40,Paul Townsend,PB3OEIzQGx_p6VdpzX3Feg,1,1,1,1,1
41,Wendy Campbell,Q9mA60HnY87C1TW5kjAZ6Q,1,1,1,1,1
42,Tammy Mathis,QMqSgBqSrlRhz2B0UiORjw,1,1,1,1,1
43,Melissa Hamilton,QQZ9ColZA3eOLWdnSSpzUg,1,1,1,1,1
44,Tristan Ross,SFYKOFR2f867C0XRYWfiBA,1,1,1,1,1
45,Becky West,SdjDKPsfCUIIwY_mZHZLog,1,1,1,1,1
46,Rachel Hanson,U4INQZOPSUaj8hMjLlZ3KA,1,1,1,1,1
47,Cory Hoffman,W42E8JMyTLKI6FSU0Mau2A,1,1,1,1,1
48,Lauren Hayes,WPBrjBbk76ZtZQ8QpG09cQ,1,1,1,1,1
49,Keith Wilkerson,WWnhqRnWWjutMqh-2SzEuQ,1,1,1,1,1
50,Brandon Lutz,Wc5L6iuvSNF5WGBlqIO8nw,1,1,1,1,1
51,Denise Davis,WeVkkF5L39888IPPlRhNpg,1,1,1,1,1
52,Jeffrey Gardner,Ww9IvgIEWvLhx5BtJkDtmA,1,1,1,1,1
53,Sarah Rogers,Wx7cbLDqYEL3_aVZwh82Ww,1,1,1,1,1
54,Terri Garcia,Xvv0P_0B57LoyGrVHGG_8A,1,1,1,1,1
55,Danielle Stokes,Xwnf20FKuikiHcSpcEbpKQ,1,0,0,0,0
56,Stephanie Jackson,Yfd33F6wAas_X7X57yCNKQ,1,1,1,1,1
57,Julia Ruiz,Z09rco1enQXNCd9H0u7kvg,1,1,1,1,0
58,Samantha Arroyo,ZWD8UH1T7QXQr0Eq-mcWYg,1,1,1,1,1
59,Andrew Black,ZcFB7xOpJufgX9hHPFh9mQ,1,1,1,1,1
60,Justin Serrano,ZpUI9ze0YlA6nMSHwx3ZYQ,1,0,0,0,0
61,Deanna King,bXwZ86LHDjW2iEAQcPPDtQ,1,1,1,1,1
62,Leslie Anderson,d7D4dYzF6THtOx9imf-wPw,1,1,1,1,1
63,Robert Howell,dfgPj43FVRnKIfxjLclqTQ,1,1,1,1,1
64,Laura Hardy,dsX3MiQiTy3OVI8MKn0I4w,1,1,1,1,1
65,Alan Molina,eEgeuz6Gg12HZkFZTfbb8A,1,1,1,1,0
66,Anthony Williams,gRQmSCQged4Znss2-VjzUQ,1,1,1,1,1
67,Susan Woods,gysxDtJ1wr6NBv1Gvm7KxA,1,1,1,1,1
68,Gabrielle Richardson,hA2X9akTxboda17YqbF20g,1,1,1,1,1
69,Jordan Underwood,hcJzh-FFDEfYKGpyM0TpZA,1,1,1,1,1
70,Margaret Young,hfu64kgzsAPCsN-AEkRB0w,0,1,0,0,0
71,Michaela Soto,hpw7UrWf51aaWKbaGGJ2hA,1,1,1,1,1
72,David Arnold,iEPwz1rtLVHlBnbLo74iBg,1,1,1,1,1
73,John Conrad,iLjMdZi0Tm7DQxX1C1_2dg,1,1,1,1,1
74,Laura Vincent,jOU73K85NeMzBsqwJtfu0A,1,1,1,1,1
75,John Rogers,jVYzrVblDFSuL3GHtt8ZSA,1,1,1,1,1
76,William Brewer,jt49xjEjQisu6wTTGn6B3A,1,1,1,1,1
77,Lisa Soto,kTpsjDUhl9BlRl0FVuNreA,1,1,1,1,1
78,Larry Silva,kcLuh-ck_Zj07TsodaaNUA,1,0,0,0,0
79,Michael Henderson,lcuDvwFjgg9cHoiZhOJv4Q,1,1,1,1,1
80,James Brown,lpasWkbfx3flOFBbsTnIxw,1,1,1,1,1
81,Andrew Mitchell,mFwRTTDW0Yr-rFkTF2cFsw,1,1,1,1,1
82,Michael Davis,mgytZAasaiBf-END4aZD9w,1,1,1,1,1
83,Jacqueline Turner,nr35WjC-YI0dFcsnW33Szw,1,0,0,0,0
84,Sarah Cohen,otbbgNWpBnUlclqUmOLeiQ,1,1,1,1,1
85,Ian Williams,qd86UqcMSxvQAl1M7E3Kzw,1,1,1,1,1
86,Karen Hunt,s2udNFYCPe33ZxkR0jmCsg,1,1,1,1,1
87,Michael Houston,sL_5enJqdc1hBheeyc6TUA,1,1,1,1,1
88,Laura Castillo,slfHYwBy6Wo6AyuTNt3S1w,1,1,1,1,1
89,Randy Ball,syvwUKQJ4OYfmL_ixVLMeQ,1,0,0,0,0
90,Jonathon Hudson,vLFIN-fQG-3ynxPTmhUJbw,1,1,1,1,1
91,Michael Bates,vNqJm3mlYnqxFrLBi_NViQ,1,1,1,1,1
92,Dr. Barbara Baker,w-w-k-QXosIKQ8HQVwU6IQ,1,1,1,1,1
93,Ellen Kirby,xQmm-eW-8jiMWbEZQN44tA,1,1,1,1,1
94,John Boyd,yh8_9Ix1wp9dekvyOZbilQ,1,1,1,1,1
